State_From,State_To,Day,Num_Units,DataSource,Fmax,Buffer,SurgeCorrection
Federal,New Jersey,2020-04-16,168.0,ode,0.19999999999999996,0.1,0.75
Federal,Louisiana,2020-04-17,71.0,ode,0.19999999999999996,0.1,0.75
Federal,Connecticut,2020-04-17,26.0,ode,0.19999999999999996,0.1,0.75
Federal,New Jersey,2020-04-19,114.0,ode,0.19999999999999996,0.1,0.75
Pennsylvania,New York,2020-04-09,304.0,ode,0.19999999999999996,0.1,0.9
Ohio,New York,2020-04-09,276.0,ode,0.19999999999999996,0.1,0.9
North Carolina,New Jersey,2020-04-09,196.0,ode,0.19999999999999996,0.1,0.9
Michigan,New York,2020-04-09,163.0,ode,0.19999999999999996,0.1,0.9
Virginia,New Jersey,2020-04-09,142.0,ode,0.19999999999999996,0.1,0.9
Massachusetts,New York,2020-04-09,136.0,ode,0.19999999999999996,0.1,0.9
South Carolina,New Jersey,2020-04-09,106.0,ode,0.19999999999999996,0.1,0.9
Maryland,New Jersey,2020-04-09,100.0,ode,0.19999999999999996,0.1,0.9
Kentucky,New Jersey,2020-04-09,98.0,ode,0.19999999999999996,0.1,0.9
Mississippi,Louisiana,2020-04-09,77.0,ode,0.19999999999999996,0.1,0.9
Arkansas,Louisiana,2020-04-09,65.0,ode,0.19999999999999996,0.1,0.9
West Virginia,New Jersey,2020-04-09,54.0,ode,0.19999999999999996,0.1,0.9
Delaware,New Jersey,2020-04-09,22.0,ode,0.19999999999999996,0.1,0.9
Maine,New York,2020-04-09,22.0,ode,0.19999999999999996,0.1,0.9
New Hampshire,New York,2020-04-09,22.0,ode,0.19999999999999996,0.1,0.9
Rhode Island,New Jersey,2020-04-09,20.0,ode,0.19999999999999996,0.1,0.9
Indiana,New York,2020-04-09,13.0,ode,0.19999999999999996,0.1,0.9
Massachusetts,New Jersey,2020-04-09,13.0,ode,0.19999999999999996,0.1,0.9
Vermont,New York,2020-04-09,9.0,ode,0.19999999999999996,0.1,0.9
Federal,New York,2020-04-12,359.0,ode,0.19999999999999996,0.1,0.9
Federal,New Jersey,2020-04-12,46.0,ode,0.19999999999999996,0.1,0.9
Federal,New York,2020-04-13,329.0,ode,0.19999999999999996,0.1,0.9
Federal,New Jersey,2020-04-13,76.0,ode,0.19999999999999996,0.1,0.9
Federal,New Jersey,2020-04-14,223.0,ode,0.19999999999999996,0.1,0.9
Federal,New York,2020-04-14,145.0,ode,0.19999999999999996,0.1,0.9
Federal,Louisiana,2020-04-14,37.0,ode,0.19999999999999996,0.1,0.9
Federal,New Jersey,2020-04-15,207.0,ode,0.19999999999999996,0.1,0.9
Federal,Louisiana,2020-04-15,55.0,ode,0.19999999999999996,0.1,0.9
Federal,New York,2020-04-15,36.0,ode,0.19999999999999996,0.1,0.9
Federal,Connecticut,2020-04-15,19.0,ode,0.19999999999999996,0.1,0.9
Federal,Louisiana,2020-04-17,75.0,ode,0.19999999999999996,0.1,0.9
Federal,New Jersey,2020-04-18,160.0,ode,0.19999999999999996,0.1,0.9
Federal,Connecticut,2020-04-20,5.0,ode,0.19999999999999996,0.1,0.9
Pennsylvania,New York,2020-04-09,304.0,ode,0.19999999999999996,0.1,1.0
